date	AAPL	SPY	TSLA	AMZN	MSFT	NVDA
2023-09-30	169.5492706298828	417.8656311035156	250.22000122070312	127.12000274658203	311.0622863769531	43.475833892822266
2023-10-31	169.11355590820312	408.7943420410156	200.83999633789062	133.08999633789062	333.0903015136719	40.758277893066406
2023-11-30	188.35533142089844	446.1351623535156	240.0800018310547	146.08999633789062	374.04229736328125	46.745086669921875
2023-12-31	190.91366577148438	466.5036926269531	248.47999572753906	151.94000244140625	371.2091369628906	49.49997329711914
2024-01-31	182.85191345214844	473.93341064453125	187.2899932861328	155.1999969482422	392.472412109375	61.4996337890625
2024-02-29	179.46127319335938	498.66650390625	201.8800048828125	176.75999450683594	409.08123779296875	79.07682037353516
2024-03-31	170.25735473632812	514.9739379882812	175.7899932861328	180.3800048828125	416.08319091796875	90.32005310058594
2024-04-30	169.1155548095703	494.2102966308594	183.27999877929688	175.0	385.0390930175781	86.36762237548828
2024-05-31	191.13815307617188	519.2073364257812	178.0800018310547	176.44000244140625	411.2953186035156	109.5893783569336
2024-06-30	209.40191650390625	537.5250244140625	197.8800048828125	193.25	442.8213806152344	123.50099182128906
2024-07-31	220.795654296875	544.0339965820312	232.07000732421875	186.97999572753906	414.4855651855469	116.98303985595703
2024-08-31	227.9391632080078	556.74560546875	214.11000061035156	178.5	414.0316467285156	119.33230590820312
2024-09-30	231.920654296875	568.4398803710938	261.6300048828125	186.3300018310547	427.09356689453125	121.41203308105469
2024-10-31	224.8634796142578	563.367431640625	249.85000610351562	186.39999389648438	403.3220520019531	132.72943115234375
2024-11-30	236.490478515625	596.9629516601562	345.1600036621094	207.88999938964844	421.1458740234375	138.21817016601562
2024-12-31	249.5341796875	582.5999145507812	403.8399963378906	219.38999938964844	419.1965637207031	134.26832580566406
2025-01-31	235.16519165039062	598.2463989257812	404.6000061035156	237.67999267578125	412.791748046875	120.05062103271484
2025-02-28	241.24948120117188	590.6517944335938	292.9800109863281	212.27999877929688	395.6121520996094	124.89983367919922
2025-03-31	221.58761596679688	557.7411499023438	259.1600036621094	190.25999450683594	374.087158203125	108.37247467041016
2025-04-30	211.9811248779297	552.9054565429688	282.1600036621094	184.4199981689453	393.88818359375	108.91243743896484
2025-05-31	200.622314453125	587.6527709960938	346.4599914550781	205.00999450683594	459.60443115234375	135.12062072753906
2025-06-30	204.93740844726562	617.8499755859375	317.6600036621094	219.38999938964844	496.5936584472656	157.99000549316406
2025-07-31	207.33470153808594	632.0800170898438	308.2699890136719	234.11000061035156	532.6243896484375	177.8699951171875
2025-08-31	232.13999938964844	645.0499877929688	333.8699951171875	229.0	506.69000244140625	174.17999267578125
