index	return	risk	AAPL	SPY	TSLA	AMZN	MSFT	NVDA
0	0.019069284259051	0.03503248458520379	0.141370142941403	0.858629857058597	0.0	0.0	0.0	0.0
1	0.019564953058061	0.03537806800934079	0.105495934863538	0.887476879512581	0.0	0.0	0.0	0.007027185623881
2	0.020060621857071	0.03581023487307436	0.107278148890636	0.875418962533379	0.0	0.0	0.0	0.017302888575985
3	0.020556290656081	0.036265623511668586	0.109060362917734	0.863361045554178	0.0	0.0	0.0	0.027578591528089
4	0.021051959455091	0.036743370519721756	0.110842576944832	0.851303128574976	0.0	0.0	0.0	0.037854294480193
5	0.021547628254101	0.03724261546696976	0.112624871036396	0.839244786320392	0.0	4.08293167e-07	0.0	0.048129934350045
6	0.022043297053111	0.03776171614046536	0.115380938098653	0.822014092134897	0.0	0.004966624499646	0.0	0.057638345266804
7	0.022538965852121	0.038299157108647904	0.118114934448107	0.804900628330524	0.0	0.009820292041535	0.0	0.067164145179834
8	0.023034634651131	0.03885417692188945	0.120848931001594	0.78778716430674	0.0	0.01467395958074	0.0	0.076689945110926
9	0.023530303450141	0.039426033188831665	0.123582927555082	0.770673700282956	0.0	0.019527627119945	0.0	0.086215745042018
10	0.024025972249151	0.040014004066339114	0.126316924108569	0.753560236259172	0.0	0.024381294659149	0.0	0.095741544973109
11	0.024521641048161	0.0406173897428174	0.129050920662056	0.736446772235388	0.0	0.029234962198354	0.0	0.105267344904201
12	0.025017309847171	0.041235513544802996	0.131784917215544	0.719333308211604	0.0	0.034088629737559	0.0	0.114793144835293
13	0.025512978646181	0.041867722708216544	0.134518913769031	0.702219844187821	0.0	0.038942297276764	0.0	0.124318944766385
14	0.026008647445191	0.04251338885486983	0.137252910322518	0.685106380164037	0.0	0.043795964815968	0.0	0.133844744697476
15	0.026504316244201	0.043171908213135636	0.139986906876005	0.667992916140253	0.0	0.048649632355173	0.0	0.143370544628568
16	0.026999985043211	0.0438427016193827	0.142720903429493	0.650879452116469	0.0	0.053503299894378	0.0	0.15289634455966
17	0.027495653842221	0.04452521433405813	0.14545489998298	0.633765988092685	0.0	0.058356967433583	0.0	0.162422144490752
18	0.027991322641231	0.04521891570334461	0.148188896536468	0.6166525240689	0.0	0.063210634972788	0.0	0.171947944421843
19	0.028486991440241	0.04592329869427211	0.150922893089955	0.599539060045117	0.0	0.068064302511992	0.0	0.181473744352935
20	0.028982660239251	0.04663787932813049	0.153656889643442	0.582425596021333	0.0	0.072917970051198	0.0	0.190999544284027
21	0.029478329038261	0.04736219603409419	0.15639088619693	0.565312131997549	0.0	0.077771637590402	0.0	0.200525344215119
22	0.029973997837271	0.04809580894218796	0.159124882750417	0.548198667973765	0.0	0.082625305129607	0.0	0.21005114414621
23	0.030469666636281	0.04883829913213307	0.161858879303904	0.531085203949981	0.0	0.087478972668812	0.0	0.219576944077302
24	0.030965335435291	0.0495892678522354	0.164592875857392	0.513971739926197	0.0	0.092332640208017	0.0	0.229102744008394
25	0.031461004234301	0.05034833572032511	0.16732687241088	0.496858275902413	0.0	0.097186307747222	0.0	0.238628543939486
26	0.031956673033311	0.05111514191682499	0.170060868964367	0.479744811878629	0.0	0.102039975286426	0.0	0.248154343870578
27	0.032452341832321	0.05188934337831354	0.172794865517854	0.462631347854846	0.0	0.106893642825631	0.0	0.257680143801669
28	0.032948010631331	0.05267061399844018	0.175528862071341	0.445517883831062	0.0	0.111747310364836	0.0	0.267205943732761
29	0.033443679430341	0.05345863877013734	0.178153570503069	0.428597944526682	0.000174070003583	0.116324833971176	0.0	0.276749580995489
30	0.033939348229351	0.05425237008578228	0.179638967839481	0.4136943176631	0.002158726643783	0.118029331844568	0.0	0.286478656009067
31	0.034435017028361	0.05505102852860026	0.181124184610546	0.398791951949178	0.004143078269558	0.119732870050287	0.0	0.296207915120432
32	0.034930685827371	0.05585440274103561	0.182609614344613	0.383888768976964	0.006127572121662	0.121436963538454	0.0	0.305937081018307
33	0.035426354626381	0.056662292138828244	0.184095044079231	0.3689855859967	0.008112065971525	0.123141057038008	0.0	0.315666246914536
34	0.035922023425391	0.05747450631942037	0.185580473813849	0.354082403016436	0.010096559821388	0.124845150537562	0.0	0.325395412810764
35	0.036417692224401	0.05829086450090896	0.187065903548467	0.339179220036172	0.012081053671251	0.126549244037117	0.0	0.335124578706993
36	0.036913361023411	0.05911119499073442	0.188551333283085	0.324276037055909	0.014065547521114	0.128253337536671	0.0	0.344853744603222
37	0.037409029822421	0.059935334683048125	0.190036763017703	0.309372854075645	0.016050041370977	0.129957431036225	0.0	0.35458291049945
38	0.037904698621431	0.060763128583643716	0.191522192752321	0.29446967109538	0.01803453522084	0.131661524535779	0.0	0.364312076395679
39	0.038400367420441	0.06159442936128971	0.193007622486939	0.279566488115116	0.020019029070703	0.133365618035334	0.0	0.374041242291908
40	0.038896036219451	0.062429096924274535	0.194493052221557	0.264663305134854	0.022003522920566	0.135069711534888	0.0	0.383770408188137
41	0.039391705018461	0.06326699802096729	0.195978481956175	0.249760122154589	0.023988016770428	0.136773805034442	0.0	0.393499574084365
42	0.039887373817471	0.06410800586320527	0.197463911690793	0.234856939174325	0.025972510620291	0.138477898533997	0.0	0.403228739980594
43	0.040383042616481	0.06495199977133502	0.198949341425411	0.219953756194061	0.027957004470154	0.140181992033551	0.0	0.412957905876823
44	0.040878711415491	0.06579886483976233	0.200434771160029	0.205050573213797	0.029941498320017	0.141886085533105	0.0	0.422687071773052
45	0.041374380214501	0.06664849162189779	0.201920200894647	0.190147390233534	0.03192599216988	0.143590179032659	0.0	0.43241623766928
